Component Name,sigmaXXLC1,sigmaYYLC1,sigmaXYLC1,k_shearLC1,k_biaxialLC1,LC 1 RF,sigmaXXLC2,sigmaYYLC2,sigmaXYLC2,k_shearLC2,k_biaxialLC2,LC 2 RF,sigmaXXLC3,sigmaYYLC3,sigmaXYLC3,k_shearLC3,k_biaxialLC3,LC 3 RF
panel1,-73.70766666666667,17.880333333333336,29.721999999999998,5.624444444444444,5.026109228527795,1.5825733858439315,-76.00866666666667,-17.88,29.721999999999998,5.624444444444444,3.072998571375889,0.9661665202504421,-24.486666666666668,5.94,118.48866666666667,5.624444444444444,5.026097941721894,1.103252905700015
panel10,-73.70766666666667,17.880333333333333,29.721999999999998,5.624444444444444,5.026109228527795,1.5825733858439315,-76.00866666666667,-17.88,29.721999999999998,5.624444444444444,3.072998571375889,0.9661665202504421,-24.486666666666668,5.94,118.48866666666667,5.624444444444444,5.026097941721894,1.103252905700015
panel2,-93.82666666666667,17.879666666666665,29.643333333333334,5.624444444444444,4.824758222302754,1.3308400867702437,-93.875,-17.88,29.643333333333334,5.624444444444444,3.2386634171369937,0.9077639281455484,-31.170666666666666,5.939999999999998,118.176,5.624444444444444,4.824774367569068,1.2015831928139773
panel3,-94.24466666666667,17.88,29.593333333333334,5.624444444444444,4.820474989545653,1.2141632144397696,-94.62566666666667,-17.880000000000003,29.593333333333334,5.624444444444444,3.244566658824905,0.8285352565997001,-31.30966666666667,5.940000000000002,117.976,5.624444444444444,4.820468924117796,1.043225794774054
panel4,-92.91166666666668,17.88,30.064999999999998,5.624444444444444,4.8343544901721645,1.4890822810515003,-93.65766666666667,-17.87966666666667,30.064999999999998,5.624444444444444,3.236954567112758,1.005023578459362,-30.866666666666664,5.939999999999998,119.855,5.624444444444444,4.834353241955966,1.3967478630932795
panel5,-92.16666666666667,17.88,52.54633333333334,5.624444444444444,4.84232244268453,2.0614078201190873,-93.15233333333333,-17.88,52.54633333333334,5.624444444444444,3.2329112201822614,1.407375477592189,-30.619333333333334,5.939999999999998,209.48066666666668,5.624444444444444,4.84231575216411,1.1327819433740978
panel6,-92.16666666666667,17.88,52.54633333333334,5.624444444444444,4.84232244268453,2.0614078201190873,-93.15233333333333,-17.88,52.54633333333334,5.624444444444444,3.2329112201822614,1.407375477592189,-30.619333333333334,5.939999999999998,209.48066666666668,5.624444444444444,4.84231575216411,1.1327819433740978
panel7,-92.91166666666668,17.88,30.064999999999998,5.624444444444444,4.8343544901721645,1.4890822810515003,-93.65766666666667,-17.87966666666667,30.064999999999998,5.624444444444444,3.236954567112758,1.005023578459362,-30.866666666666664,5.939999999999998,119.855,5.624444444444444,4.834353241955966,1.3967478630932795
panel8,-94.24466666666667,17.88,29.593333333333334,5.624444444444444,4.820474989545653,1.2141632144397696,-94.62566666666667,-17.88,29.593333333333334,5.624444444444444,3.244566658824905,0.8285352565997001,-31.30966666666667,5.940000000000002,117.976,5.624444444444444,4.820468924117796,1.043225794774054
panel9,-93.82666666666667,17.87966666666667,29.643333333333334,5.624444444444444,4.824758222302754,1.3308400867702437,-93.875,-17.88,29.643333333333334,5.624444444444444,3.2386634171369937,0.9077639281455484,-31.170666666666666,5.939999999999998,118.176,5.624444444444444,4.824774367569068,1.2015831928139773
