Element ID,Component Name,sigmaXX,sigmaYY,sigmaXY,Load Case
1,panel1,-65.599,13.236,27.180,Subcase 1 (LC1)
2,panel1,-82.044,21.305,27.901,Subcase 1 (LC1)
3,panel1,-66.317,21.464,37.693,Subcase 1 (LC1)
4,panel2,-92.725,2.579,32.809,Subcase 1 (LC1)
5,panel2,-85.579,23.574,25.712,Subcase 1 (LC1)
6,panel2,-91.363,25.585,26.957,Subcase 1 (LC1)
7,panel3,-87.463,-2.900,30.951,Subcase 1 (LC1)
8,panel3,-88.715,19.146,25.373,Subcase 1 (LC1)
9,panel3,-86.605,35.331,28.759,Subcase 1 (LC1)
10,panel4,-78.843,-10.241,34.190,Subcase 1 (LC1)
11,panel4,-83.354,17.580,20.771,Subcase 1 (LC1)
12,panel4,-89.168,44.450,31.493,Subcase 1 (LC1)
13,panel5,-72.704,4.946,48.671,Subcase 1 (LC1)
14,panel5,-80.592,13.404,38.865,Subcase 1 (LC1)
15,panel5,-86.159,27.291,46.515,Subcase 1 (LC1)
16,panel6,-86.159,27.291,46.515,Subcase 1 (LC1)
17,panel6,-80.592,13.404,38.865,Subcase 1 (LC1)
18,panel6,-72.704,4.946,48.671,Subcase 1 (LC1)
19,panel7,-89.168,44.450,31.493,Subcase 1 (LC1)
20,panel7,-83.354,17.580,20.771,Subcase 1 (LC1)
21,panel7,-78.843,-10.241,34.190,Subcase 1 (LC1)
22,panel8,-86.605,35.331,28.759,Subcase 1 (LC1)
23,panel8,-88.715,19.146,25.373,Subcase 1 (LC1)
24,panel8,-87.463,-2.900,30.951,Subcase 1 (LC1)
25,panel9,-91.363,25.585,26.957,Subcase 1 (LC1)
26,panel9,-85.579,23.574,25.712,Subcase 1 (LC1)
27,panel9,-92.725,2.579,32.809,Subcase 1 (LC1)
28,panel10,-66.317,21.464,37.693,Subcase 1 (LC1)
29,panel10,-82.044,21.305,27.901,Subcase 1 (LC1)
30,panel10,-65.599,13.236,27.180,Subcase 1 (LC1)
1,panel1,-68.294,-23.607,28.471,Subcase 2 (LC2)
2,panel1,-83.472,-17.021,27.901,Subcase 2 (LC2)
3,panel1,-69.012,-15.379,36.403,Subcase 2 (LC2)
4,panel2,-92.394,-31.421,31.572,Subcase 2 (LC2)
5,panel2,-84.541,-11.902,25.712,Subcase 2 (LC2)
6,panel2,-91.032,-8.416,28.194,Subcase 2 (LC2)
7,panel3,-88.580,-37.344,30.725,Subcase 2 (LC2)
8,panel3,-89.492,-15.120,25.373,Subcase 2 (LC2)
9,panel3,-87.722,0.887,28.986,Subcase 2 (LC2)
10,panel4,-80.562,-44.862,34.211,Subcase 2 (LC2)
11,panel4,-85.242,-16.756,20.771,Subcase 2 (LC2)
12,panel4,-90.887,9.829,31.471,Subcase 2 (LC2)
13,panel5,-73.350,-25.577,48.689,Subcase 2 (LC2)
14,panel5,-81.061,-16.833,38.865,Subcase 2 (LC2)
15,panel5,-86.804,-3.232,46.496,Subcase 2 (LC2)
16,panel6,-86.804,-3.232,46.496,Subcase 2 (LC2)
17,panel6,-81.061,-16.833,38.865,Subcase 2 (LC2)
18,panel6,-73.350,-25.577,48.689,Subcase 2 (LC2)
19,panel7,-90.887,9.829,31.471,Subcase 2 (LC2)
20,panel7,-85.242,-16.756,20.771,Subcase 2 (LC2)
21,panel7,-80.562,-44.862,34.211,Subcase 2 (LC2)
22,panel8,-87.722,0.887,28.986,Subcase 2 (LC2)
23,panel8,-89.492,-15.120,25.373,Subcase 2 (LC2)
24,panel8,-88.580,-37.344,30.725,Subcase 2 (LC2)
25,panel9,-91.032,-8.416,28.194,Subcase 2 (LC2)
26,panel9,-84.541,-11.902,25.712,Subcase 2 (LC2)
27,panel9,-92.394,-31.421,31.572,Subcase 2 (LC2)
28,panel10,-69.012,-15.379,36.403,Subcase 2 (LC2)
29,panel10,-83.472,-17.021,27.901,Subcase 2 (LC2)
30,panel10,-68.294,-23.607,28.471,Subcase 2 (LC2)
1,panel1,-20.481,-10.637,127.565,Subcase 3 (LC3)
2,panel1,-27.256,7.078,111.231,Subcase 3 (LC3)
3,panel1,-23.343,22.165,131.058,Subcase 3 (LC3)
4,panel2,-33.293,-41.178,120.102,Subcase 3 (LC3)
5,panel2,-28.431,7.832,102.504,Subcase 3 (LC3)
6,panel2,-27.864,50.535,118.159,Subcase 3 (LC3)
7,panel3,-30.625,-70.817,119.385,Subcase 3 (LC3)
8,panel3,-29.473,6.361,101.150,Subcase 3 (LC3)
