Element ID,Component Name,thickness,mass
1,panel1,4.0,0.00054
2,panel1,4.0,0.00054
3,panel1,4.0,0.00054
4,panel2,4.0,0.00054
5,panel2,4.0,0.00054
6,panel2,4.0,0.00054
7,panel3,4.0,0.00054
8,panel3,4.0,0.00054
9,panel3,4.0,0.00054
10,panel4,4.0,0.00054
11,panel4,4.0,0.00054
12,panel4,4.0,0.00054
13,panel5,4.0,0.00054
14,panel5,4.0,0.00054
15,panel5,4.0,0.00054
16,panel6,4.0,0.00054
17,panel6,4.0,0.00054
18,panel6,4.0,0.00054
19,panel7,4.0,0.00054
20,panel7,4.0,0.00054
21,panel7,4.0,0.00054
22,panel8,4.0,0.00054
23,panel8,4.0,0.00054
24,panel8,4.0,0.00054
25,panel9,4.0,0.00054
26,panel9,4.0,0.00054
27,panel9,4.0,0.00054
28,panel10,4.0,0.00054
29,panel10,4.0,0.00054
30,panel10,4.0,0.00054
